metric,block_name,base_metric,mean_drop,sd_drop,min_drop,max_drop,n_repeats,drop_values,model,relative_importance_within_metric
f1,Protein_ProtBERT_SW_block,0.574074,0.135885,0.029412,0.067407,0.183165,30,0.165185;0.116675;0.128659;0.118717;0.159660;0.105048;0.142356;0.146724;0.148148;0.174074;0.133707;0.100860;0.147987;0.140446;0.138519;0.158145;0.170404;0.112536;0.181380;0.151167;0.084991;0.107114;0.108321;0.111852;0.183165;0.104509;0.164983;0.163360;0.140446;0.067407,DNABERT2_multimodal,0.520604
f1,Genomic_DNABERT2_block,0.574074,0.125129,0.036408,0.060313,0.210438,30,0.114615;0.102458;0.160929;0.146801;0.130635;0.071791;0.155026;0.113980;0.060313;0.150651;0.132760;0.087588;0.110438;0.163115;0.132760;0.164550;0.094811;0.166491;0.121244;0.210438;0.115358;0.186687;0.107114;0.096597;0.112536;0.062863;0.113980;0.097010;0.170404;0.099936,DNABERT2_multimodal,0.479396
mcc,Protein_ProtBERT_SW_block,0.349028,0.274091,0.048307,0.158385,0.338581,30,0.330756;0.236147;0.284317;0.244303;0.306972;0.229202;0.299627;0.338565;0.257949;0.298101;0.242506;0.212874;0.323116;0.291710;0.283746;0.322964;0.306549;0.219663;0.330597;0.315212;0.206791;0.237286;0.202935;0.236735;0.338581;0.245780;0.306768;0.322876;0.291710;0.158385,DNABERT2_multimodal,0.544062
mcc,Genomic_DNABERT2_block,0.349028,0.229695,0.060623,0.114419,0.386299,30,0.227934;0.237801;0.265179;0.274956;0.251375;0.139104;0.239523;0.183675;0.114419;0.291164;0.216276;0.180512;0.211331;0.298682;0.216276;0.256018;0.169877;0.264580;0.191246;0.386299;0.210484;0.354395;0.237286;0.196319;0.219663;0.141585;0.183675;0.178462;0.306549;0.246207,DNABERT2_multimodal,0.455938
pr_auc,Protein_ProtBERT_SW_block,0.679013,0.13199,0.02416,0.066782,0.16886,30,0.145656;0.123598;0.125024;0.135187;0.158155;0.121739;0.144433;0.147011;0.118894;0.101045;0.124794;0.137144;0.154312;0.124086;0.147686;0.136728;0.123759;0.151974;0.137888;0.167325;0.138088;0.168860;0.066782;0.112960;0.111249;0.092967;0.166588;0.138360;0.151114;0.086306,DNABERT2_multimodal,0.596263
pr_auc,Genomic_DNABERT2_block,0.679013,0.089372,0.032968,0.028428,0.160109,30,0.078043;0.077125;0.110189;0.116571;0.066492;0.075884;0.049892;0.076018;0.028428;0.109836;0.063029;0.067473;0.103537;0.128548;0.113464;0.107869;0.064799;0.103288;0.058744;0.155600;0.097146;0.160109;0.112635;0.086696;0.063367;0.081234;0.040851;0.049330;0.146181;0.088783,DNABERT2_multimodal,0.403737
roc_auc,Protein_ProtBERT_SW_block,0.693028,0.138148,0.026893,0.064434,0.207571,30,0.132571;0.125599;0.123420;0.116885;0.141176;0.115033;0.141558;0.170915;0.150381;0.135294;0.110893;0.125490;0.161438;0.133660;0.125218;0.164651;0.140523;0.122168;0.161765;0.207571;0.145915;0.169390;0.064434;0.142102;0.133224;0.109477;0.173257;0.152070;0.148747;0.099619,DNABERT2_multimodal,0.574523
roc_auc,Genomic_DNABERT2_block,0.693028,0.102309,0.032294,0.039379,0.175817,30,0.078050;0.113725;0.133769;0.109641;0.089434;0.067810;0.080719;0.091013;0.039379;0.130991;0.081100;0.101416;0.104303;0.130719;0.132898;0.113943;0.069281;0.132081;0.070697;0.175817;0.102996;0.160294;0.114597;0.100000;0.084150;0.059913;0.063181;0.078431;0.159586;0.099346,DNABERT2_multimodal,0.425477
f1,Protein_ProtBERT_SW_block,0.647482,0.134899,0.027713,0.079137,0.189917,30,0.149314;0.170948;0.079137;0.117016;0.138648;0.111768;0.127909;0.147482;0.140440;0.149261;0.176468;0.127335;0.131581;0.120009;0.143832;0.167482;0.151186;0.094755;0.185944;0.117865;0.156507;0.131353;0.106741;0.092322;0.132776;0.120009;0.189917;0.089991;0.136844;0.142144,Handcrafted_multimodal,0.752004
f1,Genomic_K3K4Basic_block,0.647482,0.044487,0.0219,0.005844,0.089991,30,0.031540;0.022482;0.029938;0.026792;0.005844;0.089991;0.032641;0.072043;0.021147;0.057554;0.081174;0.042500;0.034806;0.072140;0.048890;0.018111;0.015180;0.064748;0.037553;0.040585;0.038485;0.084305;0.069704;0.039090;0.048179;0.048179;0.030461;0.064456;0.040984;0.025104,Handcrafted_multimodal,0.247996
mcc,Protein_ProtBERT_SW_block,0.277384,0.275953,0.054182,0.162612,0.362243,30,0.288388;0.347399;0.162612;0.243876;0.302983;0.236434;0.273396;0.325225;0.310391;0.317810;0.354789;0.244100;0.288160;0.229337;0.280980;0.332643;0.281088;0.184959;0.362202;0.273214;0.317844;0.273455;0.192526;0.199372;0.251511;0.229337;0.362243;0.213730;0.295587;0.303006,Handcrafted_multimodal,0.721844
mcc,Genomic_K3K4Basic_block,0.277384,0.106336,0.042318,0.0485,0.21373,30,0.059341;0.072236;0.080284;0.086675;0.048500;0.213730;0.080631;0.169357;0.051325;0.118263;0.169929;0.095739;0.087880;0.190831;0.117549;0.057807;0.064037;0.133046;0.088195;0.116506;0.109253;0.170072;0.118724;0.102380;0.124505;0.124505;0.073381;0.111317;0.081408;0.072665,Handcrafted_multimodal,0.278156
pr_auc,Protein_ProtBERT_SW_block,0.616061,0.112037,0.025009,0.040818,0.169608,30,0.131173;0.105202;0.091423;0.122383;0.124296;0.089044;0.112673;0.111234;0.109948;0.143486;0.123025;0.109451;0.132752;0.116572;0.105398;0.105108;0.092150;0.095661;0.128901;0.150766;0.111322;0.124163;0.040818;0.091681;0.120221;0.074547;0.169608;0.075458;0.137186;0.115451,Handcrafted_multimodal,1.0
pr_auc,Genomic_K3K4Basic_block,0.616061,-0.008445,0.021345,-0.058036,0.033815,30,-0.045584;-0.012653;-0.058036;-0.017175;-0.014734;0.017079;-0.026942;0.004399;-0.001649;-0.007598;-0.001438;-0.012789;0.032538;0.011186;-0.015136;-0.003364;-0.031128;-0.007791;-0.027863;0.008822;-0.029742;-0.029608;-0.003156;-0.020325;0.003795;0.033815;-0.006669;0.031485;-0.008460;-0.014621,Handcrafted_multimodal,0.0
roc_auc,Protein_ProtBERT_SW_block,0.639869,0.139619,0.029974,0.076416,0.22658,30,0.136819;0.148312;0.104521;0.130338;0.148039;0.111383;0.134205;0.168627;0.130229;0.186383;0.151144;0.125163;0.147059;0.132081;0.135675;0.149619;0.115414;0.097222;0.178867;0.171351;0.138290;0.150272;0.076416;0.125926;0.155991;0.108007;0.226580;0.103050;0.165359;0.136220,Handcrafted_multimodal,0.903624
roc_auc,Genomic_K3K4Basic_block,0.639869,0.014891,0.016373,-0.017048,0.055556,30,-0.013834;0.006100;-0.013562;-0.006590;-0.002614;0.025545;0.010784;0.032190;0.016503;0.018301;0.015904;0.011057;0.032244;0.055556;0.029684;0.005011;-0.017048;0.034423;0.000381;0.016776;0.018900;0.014760;0.029466;0.021514;0.026743;0.028159;0.004139;0.027070;0.005174;0.013998,Handcrafted_multimodal,0.096376
